record_id,player_id,team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,match_outcome,mvp_award,player_name,player_country,kd,rating,team_id,map_id,match_type_id,map_type,active_duty,best_of,match_date,date_year,date_month,date_quarter,date_day_of_week
1,160,Chiefs,Rifler,Mirage,Playoff,18,6,7,40.43,192.28,0.52,50.02,0.83,Win,No,BL1TZ,Australia,1.13,1.09,1,1,1,Bomb Defusal,1,3,25/05/2022,2022,5,2,Wednesday
2,2,Natus Vincere,AWPer,Inferno,Final,16,7,11,40.5,201.98,0.68,41.45,0.89,Win,Yes,s1mple,Ukraine,1.33,1.25,1,2,2,Bomb Defusal,1,5,12/06/2024,2024,6,2,Wednesday
3,468,Funky Monkeys,Rifler,Inferno,Semi-Final,14,7,15,36.93,172.5,0.27,35.77,0.81,Win,No,waffe,Australia,1.05,1.03,2,2,3,Bomb Defusal,1,3,08/09/2022,2022,9,3,Thursday
4,447,4glory,IGL,Dust2,Final,12,6,13,53.46,246.83,0.07,43.03,1,Win,No,dEE,Serbia,1.07,1.04,3,3,2,Bomb Defusal,1,5,09/09/2022,2022,9,3,Friday
5,196,Vitality,AWPer,Nuke,Playoff,13,9,13,44.71,266.94,0.52,39.16,0.85,Win,No,shox,France,1.12,1.08,4,4,1,Bomb Defusal,1,3,07/10/2023,2023,10,4,Saturday
6,173,Control,AWPer,Overpass,Qualifier,9,8,8,44.51,247.46,0.8,32.25,0.86,Loss,No,husK,Australia,1.07,1.09,2,5,4,Bomb Defusal,0,1,23/03/2024,2024,3,1,Saturday
7,384,PACT,AWPer,Dust2,Semi-Final,15,7,10,41.84,211.33,0.34,44.52,0.93,Win,No,Sobol,Poland,1.07,1.05,3,3,3,Bomb Defusal,1,3,05/12/2022,2022,12,4,Monday
8,47,HellRaisers,IGL,Dust2,Final,15,7,11,48.23,214.23,0.14,48.71,1,Win,No,woxic,Turkey,1.21,1.13,3,3,2,Bomb Defusal,1,5,31/08/2022,2022,8,3,Wednesday
9,108,MVP PK,AWPer,Mirage,Qualifier,12,9,7,58.65,246.21,0.02,55.12,0.9,Win,No,xeta,Korea,1.16,1.1,5,1,4,Bomb Defusal,1,1,20/04/2023,2023,4,2,Thursday
10,32,G2,Rifler,Dust2,Playoff,17,8,10,45.55,210.27,0.9,45.77,0.94,Win,No,NiKo,Bosnia and Herzegovina,1.19,1.15,4,3,1,Bomb Defusal,1,3,16/08/2023,2023,8,3,Wednesday
11,160,Chiefs,Rifler,Mirage,Qualifier,21,10,12,46.4,183.49,0.69,56.3,0.94,Win,No,BL1TZ,Australia,1.13,1.09,5,1,4,Bomb Defusal,1,1,09/04/2023,2023,4,2,Sunday
12,493,4glory,Entry Fragger,Overpass,Qualifier,18,9,13,50.25,212.06,0.2,55.12,1,Win,No,c0llins,Serbia,1.04,1.03,2,5,4,Bomb Defusal,0,1,01/05/2023,2023,5,2,Monday
13,295,Secret fe,Rifler,Mirage,Playoff,18,7,16,41.38,243.31,0.39,43.79,0.89,Win,No,Ant1ka,Russia,1.12,1.06,1,1,1,Bomb Defusal,1,3,30/09/2022,2022,9,3,Friday
14,354,Lynn Vision,Entry Fragger,Mirage,Semi-Final,11,12,8,51.85,229.13,0.91,42.82,0.95,Win,No,Westmelon,China,1.05,1.05,2,1,3,Bomb Defusal,1,3,27/04/2022,2022,4,2,Wednesday
15,315,Signature,Rifler,Overpass,Group Stage,15,9,10,50.49,171.62,0.03,53.95,0.95,Win,No,TOR,Thailand,1.09,1.06,4,5,5,Bomb Defusal,0,1,05/08/2022,2022,8,3,Friday
16,298,ChocoCheck,AWPer,Mirage,Playoff,15,4,10,42.32,159.25,0.8,37.16,0.89,Win,No,XotiC,United States,1.1,1.06,2,1,1,Bomb Defusal,1,3,13/01/2023,2023,1,1,Friday
17,114,9INE,Rifler,Mirage,Final,12,6,6,59.12,232.15,0.66,46.96,1,Win,No,Izzy,Turkey,1.17,1.1,4,1,2,Bomb Defusal,1,5,29/06/2023,2023,6,2,Thursday
18,84,Sharks,IGL,Nuke,Qualifier,16,4,3,58.21,233.31,0.47,57.41,1,Win,No,Luken,Argentina,1.17,1.11,1,4,4,Bomb Defusal,1,1,05/07/2022,2022,7,3,Tuesday
19,221,Complexity,Rifler,Overpass,Qualifier,9,6,9,54.31,220.31,0.66,35.55,0.84,Win,No,jks,Australia,1.12,1.07,1,5,4,Bomb Defusal,0,1,25/11/2023,2023,11,4,Saturday
20,444,Flash,Rifler,Inferno,Group Stage,16,9,12,45.49,246.55,0.02,51.55,0.97,Loss,No,LOVEYY,China,1.06,1.04,1,2,5,Bomb Defusal,1,1,14/01/2024,2024,1,1,Sunday
21,36,Nexus,Rifler,Mirage,Semi-Final,19,11,9,49.38,213.93,0.86,56.09,1,Win,No,XELLOW,Romania,1.18,1.14,5,1,3,Bomb Defusal,1,3,25/06/2022,2022,6,2,Saturday
